epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,871.448,0.53855,0.37367,0.87144,0.9336,0.72152,0.87797,0.55612,1.23046,0.79448,1.28392,0.0008054,0.0008054,0.0008054
183,876.446,0.59404,0.37898,0.85124,0.9336,0.72152,0.87797,0.55612,1.23046,0.79448,1.28392,0.0007988,0.0007988,0.0007988
184,881.346,0.56184,0.37353,0.84516,0.88235,0.77215,0.88691,0.57643,1.22117,0.74339,1.29414,0.0007922,0.0007922,0.0007922
185,885.933,0.54505,0.37216,0.85615,0.88235,0.77215,0.88691,0.57643,1.22117,0.74339,1.29414,0.0007856,0.0007856,0.0007856
186,890.471,0.52651,0.3652,0.85086,0.94693,0.73418,0.88488,0.58139,1.2147,0.73191,1.30081,0.000779,0.000779,0.000779
187,895.488,0.51981,0.35948,0.85315,0.94693,0.73418,0.88488,0.58139,1.2147,0.73191,1.30081,0.0007724,0.0007724,0.0007724
188,900.685,0.48228,0.33449,0.83958,0.85767,0.78481,0.88463,0.57406,1.22631,0.74817,1.29542,0.0007658,0.0007658,0.0007658
189,905.227,0.51136,0.34966,0.85385,0.85767,0.78481,0.88463,0.57406,1.22631,0.74817,1.29542,0.0007592,0.0007592,0.0007592
190,910.646,0.52889,0.35433,0.8613,0.92132,0.74118,0.87473,0.57965,1.18126,0.73993,1.26907,0.0007526,0.0007526,0.0007526
191,915.156,0.49545,0.349,0.84737,0.92132,0.74118,0.87473,0.57965,1.18126,0.73993,1.26907,0.000746,0.000746,0.000746
192,919.339,0.50256,0.35031,0.84423,0.93284,0.74684,0.86962,0.58119,1.20284,0.73685,1.2995,0.0007394,0.0007394,0.0007394
193,923.794,0.50812,0.35703,0.84177,0.93284,0.74684,0.86962,0.58119,1.20284,0.73685,1.2995,0.0007328,0.0007328,0.0007328
194,928.11,0.49277,0.35741,0.86465,0.9363,0.75949,0.87037,0.57495,1.21673,0.76926,1.31952,0.0007262,0.0007262,0.0007262
195,932.324,0.47262,0.33735,0.84585,0.9363,0.75949,0.87037,0.57495,1.21673,0.76926,1.31952,0.0007196,0.0007196,0.0007196
196,936.742,0.4844,0.35682,0.86296,0.93639,0.7454,0.86705,0.56017,1.23951,0.79197,1.31715,0.000713,0.000713,0.000713
197,941.552,0.50925,0.35049,0.84327,0.93639,0.7454,0.86705,0.56017,1.23951,0.79197,1.31715,0.0007064,0.0007064,0.0007064
198,946.131,0.50495,0.35235,0.8562,0.95971,0.72152,0.86553,0.53417,1.27545,0.80365,1.33196,0.0006998,0.0006998,0.0006998
199,951.407,0.50585,0.3434,0.84502,0.95971,0.72152,0.86553,0.53417,1.27545,0.80365,1.33196,0.0006932,0.0006932,0.0006932
200,956.148,0.46522,0.33911,0.84052,0.90986,0.76671,0.8706,0.53803,1.24732,0.80437,1.32152,0.0006866,0.0006866,0.0006866
201,960.749,0.50408,0.34576,0.85516,0.90986,0.76671,0.8706,0.53803,1.24732,0.80437,1.32152,0.00068,0.00068,0.00068
202,965.039,0.4796,0.3434,0.84303,0.89636,0.7664,0.87063,0.53023,1.25067,0.78361,1.3302,0.0006734,0.0006734,0.0006734
203,968.85,0.47012,0.33221,0.83669,0.89636,0.7664,0.87063,0.53023,1.25067,0.78361,1.3302,0.0006668,0.0006668,0.0006668
204,974.527,0.50754,0.3529,0.83184,0.82504,0.82278,0.8772,0.53994,1.25472,0.76721,1.33722,0.0006602,0.0006602,0.0006602
205,979.988,0.51174,0.35003,0.84186,0.82504,0.82278,0.8772,0.53994,1.25472,0.76721,1.33722,0.0006536,0.0006536,0.0006536
206,984.854,0.49793,0.35515,0.85612,0.84403,0.82198,0.88132,0.55892,1.26092,0.77413,1.33759,0.000647,0.000647,0.000647
207,989.859,0.46733,0.33308,0.83474,0.84403,0.82198,0.88132,0.55892,1.26092,0.77413,1.33759,0.0006404,0.0006404,0.0006404
208,993.326,0.47406,0.32781,0.83799,0.86171,0.81013,0.88337,0.56303,1.26263,0.77886,1.33844,0.0006338,0.0006338,0.0006338
209,997.347,0.52841,0.35589,0.85116,0.86171,0.81013,0.88337,0.56303,1.26263,0.77886,1.33844,0.0006272,0.0006272,0.0006272
210,1000.9,0.50418,0.34969,0.84157,0.9226,0.75949,0.88147,0.56479,1.27603,0.78729,1.35621,0.0006206,0.0006206,0.0006206
211,1004.91,0.48076,0.34006,0.83906,0.9226,0.75949,0.88147,0.56479,1.27603,0.78729,1.35621,0.000614,0.000614,0.000614
212,1009.57,0.51762,0.35577,0.84427,0.87493,0.79696,0.87981,0.56544,1.29175,0.79825,1.36883,0.0006074,0.0006074,0.0006074
213,1014.04,0.49045,0.33152,0.85113,0.87493,0.79696,0.87981,0.56544,1.29175,0.79825,1.36883,0.0006008,0.0006008,0.0006008
214,1018.49,0.49132,0.34588,0.8564,0.85187,0.78481,0.86663,0.55003,1.30037,0.79811,1.37267,0.0005942,0.0005942,0.0005942
215,1023.18,0.46418,0.33457,0.85592,0.85187,0.78481,0.86663,0.55003,1.30037,0.79811,1.37267,0.0005876,0.0005876,0.0005876
216,1027.57,0.48003,0.32797,0.83543,0.95788,0.70886,0.86448,0.54701,1.26908,0.80432,1.35945,0.000581,0.000581,0.000581
217,1031.56,0.49381,0.33686,0.85074,0.95788,0.70886,0.86448,0.54701,1.26908,0.80432,1.35945,0.0005744,0.0005744,0.0005744
218,1036.28,0.49539,0.33209,0.84254,0.92052,0.73305,0.86356,0.5556,1.23418,0.82033,1.36031,0.0005678,0.0005678,0.0005678
219,1040.47,0.50855,0.33337,0.85368,0.92052,0.73305,0.86356,0.5556,1.23418,0.82033,1.36031,0.0005612,0.0005612,0.0005612
220,1044.79,0.47856,0.32442,0.84087,0.94307,0.73418,0.86003,0.54962,1.22868,0.84219,1.36092,0.0005546,0.0005546,0.0005546
221,1049.33,0.4935,0.34169,0.84544,0.94307,0.73418,0.86003,0.54962,1.22868,0.84219,1.36092,0.000548,0.000548,0.000548
222,1054.54,0.49731,0.33646,0.84447,0.93344,0.73418,0.85466,0.54601,1.25275,0.83453,1.36348,0.0005414,0.0005414,0.0005414
223,1059.08,0.47281,0.32908,0.85208,0.93344,0.73418,0.85466,0.54601,1.25275,0.83453,1.36348,0.0005348,0.0005348,0.0005348
224,1063.37,0.504,0.33549,0.85542,0.94395,0.72152,0.85193,0.54892,1.25482,0.83167,1.34864,0.0005282,0.0005282,0.0005282
225,1068.12,0.49286,0.34426,0.85264,0.94395,0.72152,0.85193,0.54892,1.25482,0.83167,1.34864,0.0005216,0.0005216,0.0005216
226,1072.99,0.45264,0.31596,0.8323,0.93344,0.71012,0.84654,0.55248,1.22517,0.82215,1.33096,0.000515,0.000515,0.000515
227,1078.24,0.48487,0.33364,0.85994,0.93344,0.71012,0.84654,0.55248,1.22517,0.82215,1.33096,0.0005084,0.0005084,0.0005084
228,1083.49,0.47057,0.33228,0.86886,0.94454,0.70886,0.8561,0.55259,1.20989,0.81288,1.33087,0.0005018,0.0005018,0.0005018
229,1088.49,0.48417,0.35227,0.8559,0.94454,0.70886,0.8561,0.55259,1.20989,0.81288,1.33087,0.0004952,0.0004952,0.0004952
230,1093.14,0.45194,0.31709,0.84929,0.90383,0.73418,0.84512,0.55273,1.22399,0.81091,1.3446,0.0004886,0.0004886,0.0004886
231,1098.41,0.49313,0.33507,0.83944,0.90383,0.73418,0.84512,0.55273,1.22399,0.81091,1.3446,0.000482,0.000482,0.000482
232,1103.92,0.45212,0.31887,0.82925,0.83835,0.79747,0.86119,0.55416,1.25124,0.80357,1.3561,0.0004754,0.0004754,0.0004754
233,1109.02,0.4517,0.32516,0.82376,0.83835,0.79747,0.86119,0.55416,1.25124,0.80357,1.3561,0.0004688,0.0004688,0.0004688
234,1114.02,0.45389,0.32633,0.83679,0.83748,0.79747,0.86578,0.56346,1.27807,0.80955,1.36196,0.0004622,0.0004622,0.0004622
235,1119.59,0.48118,0.33415,0.83436,0.83748,0.79747,0.86578,0.56346,1.27807,0.80955,1.36196,0.0004556,0.0004556,0.0004556
236,1124.42,0.45815,0.32432,0.85235,0.86227,0.79255,0.87568,0.56201,1.27562,0.8142,1.35932,0.000449,0.000449,0.000449
